Average for Week Ending,Index (Jan 1999 = 100),Unnamed: 2
2007-07-20,103.63,
2007-07-13,103.78,
2007-07-06,103.66,
2007-06-29,103.2,
2007-06-22,103.06,
2007-06-15,103.04,
2007-06-08,103.09,
2007-06-01,103.31,
2007-05-25,103.31,
2007-05-18,103.83,
2007-05-11,104.17,
2007-05-04,104.0,
2007-04-27,104.45,
2007-04-20,104.68,
2007-04-13,104.75,
2007-04-06,104.91,
2007-03-30,104.88,
2007-03-23,104.69,
2007-03-16,104.56,
2007-03-09,104.85,
2007-03-02,104.78,
2007-02-23,104.55,
2007-02-16,104.44,
2007-02-09,104.7,
2007-02-02,104.63,
2007-01-26,104.5,
2007-01-19,104.45,
2007-01-12,104.43,
2007-01-05,104.41,
2006-12-29,104.4,
2006-12-22,104.09,
2006-12-15,103.91,
2006-12-08,103.76,
2006-12-01,104.02,
2006-11-24,104.16,
2006-11-17,104.16,
2006-11-10,103.89,
2006-11-03,104.02,
2006-10-27,103.97,
2006-10-20,103.74,
2006-10-13,103.35,
2006-10-06,103.22,
2006-09-29,102.99,
2006-09-22,103.01,
2006-09-15,103.55,
2006-09-08,103.75,
2006-09-01,103.7,
2006-08-25,103.58,
2006-08-18,103.44,
2006-08-11,103.46,
2006-08-04,103.28,
2006-07-28,103.29,
2006-07-21,103.23,
2006-07-14,103.24,
2006-07-07,103.07,
2006-06-30,102.96,
2006-06-23,102.96,
2006-06-16,102.93,
2006-06-09,102.95,
2006-06-02,102.99,
2006-05-26,102.77,
2006-05-19,102.49,
2006-05-12,102.75,
2006-05-05,102.64,
2006-04-28,102.61,
2006-04-21,102.54,
2006-04-14,102.29,
2006-04-07,102.29,
2006-03-31,102.17,
2006-03-24,102.21,
2006-03-17,102.06,
2006-03-10,101.79,
2006-03-03,102.05,
2006-02-24,101.92,
2006-02-17,101.75,
2006-02-10,101.82,
2006-02-03,101.62,
2006-01-27,101.91,
2006-01-20,101.6,
2006-01-13,101.49,
2006-01-06,101.1,
2005-12-30,100.95,
2005-12-23,100.73,
2005-12-16,100.32,
2005-12-09,100.12,
2005-12-02,99.83,
2005-11-25,99.66,
2005-11-18,99.3,
2005-11-11,99.26,
2005-11-04,99.18,
2005-10-28,99.25,
2005-10-21,99.23,
2005-10-14,99.29,
2005-10-07,99.16,
2005-09-30,99.18,
2005-09-23,99.26,
2005-09-16,99.12,
2005-09-09,99.15,
2005-09-02,99.33,
2005-08-26,99.7,
2005-08-19,99.94,
2005-08-12,100.37,
2005-08-05,100.38,
2005-07-29,100.16,
2005-07-22,99.52,
2005-07-15,99.12,
2005-07-08,98.91,
2005-07-01,99.09,
2005-06-24,99.32,
2005-06-17,99.25,
2005-06-10,99.47,
2005-06-03,99.36,
2005-05-27,99.61,
2005-05-20,99.51,
2005-05-13,99.6,
2005-05-06,99.96,
2005-04-29,99.63,
2005-04-22,99.47,
2005-04-15,99.54,
2005-04-08,99.15,
2005-04-01,99.51,
2005-03-25,99.78,
2005-03-18,100.19,
2005-03-11,100.21,
2005-03-04,100.08,
2005-02-25,99.88,
2005-02-18,99.61,
2005-02-11,99.43,
2005-02-04,99.78,
2005-01-28,99.87,
2005-01-21,99.88,
2005-01-14,99.8,
2005-01-07,99.48,
2004-12-31,99.64,
2004-12-24,99.56,
2004-12-17,99.54,
2004-12-10,99.4,
2004-12-03,99.59,
2004-11-26,99.55,
2004-11-19,99.68,
2004-11-12,99.88,
2004-11-05,99.72,
2004-10-29,99.84,
2004-10-22,99.77,
2004-10-15,99.57,
2004-10-08,99.51,
2004-10-01,99.32,
2004-09-24,99.29,
2004-09-17,99.3,
2004-09-10,99.0,
2004-09-03,98.59,
2004-08-27,98.35,
2004-08-20,98.05,
2004-08-13,98.09,
2004-08-06,97.94,
2004-07-30,97.77,
2004-07-23,97.9,
2004-07-16,98.08,
2004-07-09,97.75,
2004-07-02,98.0,
2004-06-25,98.0,
2004-06-18,98.12,
2004-06-11,98.29,
2004-06-04,98.56,
2004-05-28,98.43,
2004-05-21,98.16,
2004-05-14,98.2,
2004-05-07,98.71,
2004-04-30,98.39,
2004-04-23,98.76,
2004-04-16,99.24,
2004-04-09,98.61,
2004-04-02,98.49,
2004-03-26,98.16,
2004-03-19,97.83,
2004-03-12,97.37,
2004-03-05,97.26,
2004-02-27,97.56,
2004-02-20,97.93,
2004-02-13,98.09,
2004-02-06,97.47,
2004-01-30,97.36,
2004-01-23,96.98,
2004-01-16,97.27,
2004-01-09,97.27,
2004-01-02,97.54,
2003-12-26,97.46,
2003-12-19,97.46,
2003-12-12,97.36,
